delay_probability,risk_score,actual_delayed,risk_tier
0.04715274,4.7,0,Low Risk
0.069414146,6.9,0,Low Risk
0.16828045,16.8,0,Low Risk
0.07323715,7.3,0,Low Risk
0.04441057,4.4,0,Low Risk
0.14342695,14.3,0,Low Risk
0.0076118787,0.8,0,Low Risk
0.068885446,6.9,0,Low Risk
0.19651182,19.7,0,Low Risk
0.041608613,4.2,0,Low Risk
0.045677345,4.6,0,Low Risk
0.1206757,12.1,0,Low Risk
0.19651182,19.7,0,Low Risk
0.076508224,7.7,0,Low Risk
0.23320557,23.3,0,Low Risk
0.078968115,7.9,0,Low Risk
0.019964127,2.0,0,Low Risk
0.094402954,9.4,0,Low Risk
0.06677997,6.7,0,Low Risk
0.32249436,32.2,0,Medium Risk
0.28100836,28.1,0,Low Risk
0.054114778,5.4,0,Low Risk
0.04641669,4.6,0,Low Risk
0.18828447,18.8,0,Low Risk
0.54028505,54.0,1,Medium Risk
0.19483645,19.5,0,Low Risk
0.08949508,8.9,0,Low Risk
0.07187513,7.2,0,Low Risk
0.07593159,7.6,0,Low Risk
0.23185165,23.2,0,Low Risk
0.27921113,27.9,0,Low Risk
0.056195565,5.6,0,Low Risk
0.1811042,18.1,0,Low Risk
0.33153048,33.2,0,Medium Risk
0.2642485,26.4,0,Low Risk
0.19651182,19.7,0,Low Risk
0.12660256,12.7,0,Low Risk
0.21088085,21.1,0,Low Risk
0.18916394,18.9,0,Low Risk
0.24354208,24.4,0,Low Risk
0.27805582,27.8,0,Low Risk
0.012327829,1.2,0,Low Risk
0.06053713,6.1,0,Low Risk
0.21012054,21.0,0,Low Risk
0.2987153,29.9,0,Low Risk
0.06322791,6.3,0,Low Risk
0.0898797,9.0,0,Low Risk
0.09155402,9.2,0,Low Risk
0.09155402,9.2,0,Low Risk
0.017001718,1.7,0,Low Risk
0.114181526,11.4,0,Low Risk
0.21333362,21.3,0,Low Risk
0.19651182,19.7,0,Low Risk
0.053035032,5.3,0,Low Risk
0.050484598,5.0,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.020514414,2.1,0,Low Risk
0.19645092,19.6,0,Low Risk
0.15283398,15.3,0,Low Risk
0.046668302,4.7,0,Low Risk
0.098511,9.9,0,Low Risk
0.18503429,18.5,0,Low Risk
0.05560041,5.6,0,Low Risk
0.046668302,4.7,0,Low Risk
0.058803704,5.9,0,Low Risk
0.06956327,7.0,0,Low Risk
0.19206002,19.2,0,Low Risk
0.12162422,12.2,0,Low Risk
0.16154994,16.2,0,Low Risk
0.1787888,17.9,0,Low Risk
0.2481627,24.8,1,Low Risk
0.08634528,8.6,0,Low Risk
0.06347477,6.3,0,Low Risk
0.16463424,16.5,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.053399317,5.3,0,Low Risk
0.037764877,3.8,0,Low Risk
0.20570667,20.6,0,Low Risk
